"filename", "language", "Dart", "comment", "blank", "total"
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/setting_page/views/setting_page_view.dart", "Dart", 187, 0, 5, 192
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/signIN/bindings/sign_i_n_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/signIN/controllers/sign_i_n_controller.dart", "Dart", 80, 3, 9, 92
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/signIN/views/pawall.dart", "Dart", 77, 0, 5, 82
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/signIN/views/sign_i_n_view.dart", "Dart", 33, 0, 3, 36
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/splash_screen/bindings/splash_screen_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/splash_screen/controllers/splash_screen_controller.dart", "Dart", 115, 20, 14, 149
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/splash_screen/views/splash_screen_view.dart", "Dart", 36, 0, 5, 41
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/tour_screen/bindings/tour_screen_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/tour_screen/controllers/tour_screen_controller.dart", "Dart", 50, 0, 9, 59
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/tour_screen/views/tour_screen_view.dart", "Dart", 324, 59, 11, 394
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/trial_page/bindings/trial_page_binding.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/trial_page/controllers/trial_page_controller.dart", "Dart", 87, 1, 11, 99
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/modules/trial_page/views/trial_page_view.dart", "Dart", 153, 0, 3, 156
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/routes/app_pages.dart", "Dart", 141, 0, 6, 147
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/routes/app_routes.dart", "Dart", 52, 1, 4, 57
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/widgets/addVodafoneAlert.dart", "Dart", 159, 0, 4, 163
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/widgets/bottom_nav_bar.dart", "Dart", 144, 6, 3, 153
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/widgets/button.dart", "Dart", 34, 0, 3, 37
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/widgets/circle_paint.dart", "Dart", 29, 0, 4, 33
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/widgets/curve_wave.dart", "Dart", 12, 1, 2, 15
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/widgets/input_field.dart", "Dart", 46, 0, 3, 49
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/widgets/loading_indicator.dart", "Dart", 39, 5, 9, 53
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/widgets/ripple.dart", "Dart", 90, 1, 6, 97
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/widgets/slide_transition.dart", "Dart", 22, 0, 3, 25
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/app/widgets/user_stats_components.dart", "Dart", 89, 0, 5, 94
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/base_model/base_model.dart", "Dart", 9, 0, 3, 12
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/constants/enum.dart", "Dart", 13, 0, 1, 14
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/icomoon_icons.dart", "Dart", 6, 7, 4, 17
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/injector/injector.dart", "Dart", 10, 0, 3, 13
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/main.dart", "Dart", 28, 0, 4, 32
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/model/call_start.dart", "Dart", 35, 0, 7, 42
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/model/call_status_model.dart", "Dart", 38, 3, 12, 53
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/model/dashboard_component_detail.dart", "Dart", 24, 0, 6, 30
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/model/ivr_mapping_model.dart", "Dart", 78, 4, 12, 94
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/model/login_model.dart", "Dart", 31, 0, 7, 38
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/model/phone_number_response.dart", "Dart", 19, 3, 8, 30
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/model/retrieve_dashboard_component_model.dart", "Dart", 150, 0, 19, 169
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/model/sign_in_with_apple_login_model.dart", "Dart", 25, 0, 8, 33
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/model/sign_in_with_google.dart", "Dart", 31, 0, 8, 39
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/model/user_stats_model.dart", "Dart", 26, 0, 7, 33
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/service/user_stats_service.dart", "Dart", 44, 0, 6, 50
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/storage/shared_preferences_manager.dart", "Dart", 49, 0, 18, 67
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/utils/interceptor.dart", "Dart", 42, 0, 8, 50
"/Users/prixatech/Documents/flutter projects/Q4ME_/q4me/lib/utils/string.dart", "Dart", 1, 0, 1, 2
"Total", "-", 8365, 477, 648, 9490
